Year,Knife,Firearm,Other,No data,Total
1997,987,2522,13357,0,16866
1998,1428,3286,9502,0,14216
1999,1380,4390,8849,0,14619
2000,1382,3605,8862,0,13849
2001,1401,3512,8942,0,13855
2002,1546,2616,4197,4789,13148
2003,1241,3006,4149,4280,12676
2004,1195,2858,3371,4234,11658
2005,1146,3208,2892,4000,11246
2006,1135,3610,3164,3897,11806
2007,1265,4040,4202,746,10253
2008,2310,5085,3458,2302,13155
2009,2324,8804,3946,1044,16118
2010,2045,11987,4910,1201,20143
2011,2457,12615,6310,1027,22409
2012,2411,11391,7229,428,21459
2013,2028,9774,5995,309,18106
2014,2227,8589,4079,625,15520
2015,2371,9531,4264,743,16909
2016,2666,12603,4663,615,20547
2017,2884,16949,5185,479,25497
